Cno 	  Csize 	 CEdge 	 CDensity 	 Cluster Info
C11	33	55	4.8	[VCAN, FBN1, MFAP2, ODAPH, FBXO2, LTBP1, MYOC, ZNF408, ZFP41, FBLN2, SLC4A7, ACACA, BCHE, FBLN5, LOXL1, FN1, LPA, COLQ, SF1, NHP2, CPSF7, MYC, ILK, YWHAB, LGALS9, LGALS8, LGALS3, CFTR, GSN, PXN, LGALS1, MYH9, HSP90AA1]	
C12	32	51	4.86	[OCRL, AP2S1, LTF, HMGB2, LSM12, BOLA2, SNRPE, AAMDC, CTSG, PCBP3, DHX9, ELANE, SF3B5, HMGB1, S100A9, SNX33, EIF3E, HIST1H2BH, ANXA1, S100A8, NOS2, CFTR, CALM1, CAV1, NOS3, CDC37, ACTB, SLC9A3R1, HSP90AA1, FN1, GRB2, ST13]	
C13	32	51	4.86	[ACACB, HIST4H4, HMGA1, PRKAA1, STK25, RGS1, HLCS, FN1, ACACA, CFTR, RAB10, FLOT1, ACOT13, SYMPK, ARPC4, MYC, CPNE1, PFKL, TPM3, RPL24, ACTR3, PSMB1, RPL28, RPL10A, TKT, CORO1B, KRT18, ATP5F1A, ESYT1, RPL21, ESYT2, DYNLL1]	
C14	31	48	4.84	[ENG, QDPR, RXFP4, CAND1, ANKRD13A, CUL3, CUL1, COPS5, IQCB1, APOA1, CA9, FN1, SEPHS1, AGK, MCCC2, DDIT3, PCBD1, OTUB1, TRIB3, CSNK2A1, EPS15, PICALM, GART, GLRX3, ITGB1, SLC3A2, APP, KRT1, C1QBP, C1QA, DYNLL1]	
C15	30	45	4.83	[CELA2B, C16orf70, NBN, RAD50, AURKA, ATXN2, MRM2, RPUSD2, TP53, GRN, UBE3A, MRE11, OCRL, FBN2, EFEMP2, PTGS2, CFTR, CLTC, CLTA, PFN1, ELAVL1, RAB11A, VIM, RAB14, RAC1, FN1, SOAT1, SEC61B, VAPA, GLB1]	
C16	30	46	4.73	[IQCN, FBLN5, TOP3B, ZNF550, TKTL2, DNAJC10, ZNF331, NUFIP2, ZNF408, ZFP41, LPA, LOXL1, GBA, EFEMP2, SEPHS2, FBN2, FBN1, LTBP1, BCHE, FBXO2, FN1, COLQ, SF1, NHP2, CPSF7, FBLN2, MYOC, BAG6, GLRX3, BMP2K]	
C17	29	42	4.83	[TH, TAB1, HR, YWHAG, MAPK1, KDM3B, RELL1, MTFR2, TAOK2, ZBTB34, MAP3K7, DNAJC12, YWHAZ, NFIC, SLC4A7, FN1, CAD, TPH2, TPH1, FYN, YWHAE, CFL1, CFTR, EEF2, FSCN1, RPL15, GSN, PXN, LGALS1]	
C18	29	41	4.95	[ABCB1, HMMR, RNF2, CAV1, LGALS3, DYNLL1, FAP, SMPD3, TACR1, SLC4A7, HDLBP, RPSA, PRKCZ, NF2, DYNLT1, PHLDB2, GSK3B, SPTLC1, PRKAR2A, PRKACA, RACK1, CFTR, YWHAB, SLC4A8, PDZK1, ATP5F1B, DYNC1H1, CLINT1, HDAC6]	
C19	28	40	4.72	[RHOB, DHCR7, SLC4A7, TOR1A, FADS1, NDN, IZUMO1, YWHAQ, CHRM3, GDE1, RASD2, EGFL8, LGALS9C, LGALS8, LGALS9, FOXD4, PIGX, FN1, YWHAB, LGALS3, CFTR, GSN, PXN, LGALS1, MYH9, HSP90AA1, PHGDH, YBX1]	
C20	28	38	4.97	[GOLGA2, NOS3, HBA1, SIRT1, APP, GCDH, GUCY1B1, AKT1, NOSTRIN, HBB, JOSD2, PGPEP1, MGAT4B, HBZ, ACTB, ST13, CDC37, NOSIP, CAV1, HSP90AA1, NOS2, CFTR, CALM1, APOA1, TMEM43, RAC1, SLC9A3R1, S100A8]	
C21	26	33	4.92	[PCBD1, CUL1, CUL4A, CUL4B, CUL5, CUL3, DCUN1D1, COPS5, DVL2, NIF3L1, NUDT18, TFF3, LNX1, GORASP2, WDYHV1, FXR2, APP, ACIN1, PCBD2, DYRK1B, DYNLL1, PTGS2, CAV1, CA2, QDPR, IQCB1]	
C22	26	35	4.64	[AGK, BAD, AGO4, RSPRY1, RIPK4, OTUB1, COQ9, CUL3, NDUFA4, RAB5A, MRPL58, PRKN, AP3S1, SNX4, TIMM10, RAB18, ATP12A, HCCS, TIMM10B, TIMM29, CAD, MCCC2, HDAC11, DHCR24, ESR1, SGPL1]	
C23	26	33	4.92	[TXNRD1, CRYZ, TNPO1, PAPSS2, TUBB, NAE1, IPO5, UBXN1, TUBA4A, POU2F2, POU2F1, ESR1, APEX1, TRIM25, CDO1, RP2, PDIA6, TXNRD2, CFTR, FN1, PRDX6, TUBB6, ALDOA, YWHAZ, LDHA, RPL36]	
C24	26	34	4.78	[ACP6, RSU1, ECH1, RGS10, C1QBP, ERH, LIMS1, SDHAF3, NME4, DHCR7, BOLA3, DHX36, ILK, FN1, MCCC2, CFTR, TMPRSS4, LTN1, DOCK3, PRKCI, PRKCB, GSN, PXN, LGALS3, LGALS1, MYH9]	
C25	26	33	4.92	[PLSCR4, ALG13, MTUS2, KRTAP4-12, DPH1, KRTAP6-1, IGHG2, TRIP13, MRGBP, FBLN1, ZDHHC17, FGB, FN1, RPRD1A, RSL1D1, SPR, NID1, CALR, LPA, PPID, RBM12, FEN1, VPS26A, NAA15, TLN1, NARS]	
C26	26	34	4.78	[PIGK, ULBP2, CANX, ESR1, ALPP, SMPD1, GBA, SOAT1, PIGG, PIGT, ALG11, SLC27A2, CNTNAP3B, CASP7, SEL1L, HSP90B1, MTREX, HSPD1, IMP3, CBL, CFTR, SERPINH1, RAB11A, EMD, RPN1, MKLN1]	
C27	26	33	4.92	[PPIB, GPX4, CFTR, OTUB1, GSTO2, OTUD5, PRDX6, HNRNPK, TES, MYO1D, CYSRT1, TPM4, PPA1, MEST, RPS29, GNB2, C1orf35, SPECC1L, ARPC1B, MYH10, FN1, FGB, LPA, FBLN1, VPS26A, FEN1]	
C28	25	31	4.84	[SOAT1, SMPD3, HSCB, YIPF3, RAB7A, PSEN1, PKN2, UPK1A, PDLIM7, CLTC, RAB2A, KATNA1, TMEM63B, ADGRG5, VAPA, PCDHB15, VNN2, MKLN1, GOLT1B, SEC61B, FN1, PIGM, PIGO, HTR3C, ABCG2]	
C29	25	31	4.84	[BCHE, SLAMF1, CPSF7, NHP2, MIA2, TUBA3D, SMR3B, NOP10, ENTPD5, SCGB1D1, NAF1, SCGB1D4, FBXO2, LTBP1, LOXL1, DEFA1, ACTN3, SF1, DKC1, WASL, FBN1, FN1, FBLN2, MYOC, COLQ]	
C30	25	31	4.84	[SEPHS2, NEK4, ZNF408, CCL22, LOXL4, ENDOV, ABHD4, FGG, CAD, FBN2, FBN1, FBLN5, HSPD1, ITGB3, CDK15, CCNYL1, ASCC1, F13B, MAPK7, SH3BGRL, FGB, ZFP41, RHOA, MAP2K1, PAK1]	
C31	25	30	5.0	[TPR, ADCY10, PCCB, FN1, RPL35, AP2A1, PPP2CA, EIF4H, RTCB, GSTO1, FLNB, ALDH1B1, MPP1, MSN, EIF3F, RTRAF, RCC2, RPS10, ARL2, UBE2M, CFTR, GSN, PXN, LGALS3, LGALS1]	
C32	25	31	4.84	[METTL3, LTF, CAD, DYNLL1, AEBP2, METTL14, MAPK15, ARHGAP11A, NCL, GSK3B, GSK3A, PRAP1, EPPIN, DHX30, POLL, SGK1, MUC7, HBM, TMEM237, SNX27, FN1, KRT18, ILK, GRB2, CSNK1A1]	
C33	25	30	5.0	[TNFRSF1A, NSMAF, CAD, MAP1LC3B, RACK1, SELENBP1, TCHH, PREP, DSG4, HEPHL1, CALHM4, LYG2, DUSP14, HEXIM1, GABARAPL1, PRKCZ, IKBKG, TRADD, ELK1, HTT, DYNLL1, CSNK1A1, MAD2L1, PAK1, METTL3]	
C34	25	30	5.0	[ZHX1, PIGC, DYNLL1, BCL2, KIF21A, SKP1, RNF214, TSNAX, PPFIBP1, JUP, SNCA, SHANK2, DZANK1, PPP2R2B, STK26, CEP72, DDHD1, N4BP3, DSP, CBX1, CFTR, DYNC1H1, RACK1, CLINT1, HDAC6]	
C35	25	32	4.69	[GLP1R, PIGG, NCR3LG1, ATP6V0E1, ADGRE5, ESR1, SERPINH1, DRD2, HTR3A, TXNRD1, DHCR24, SGPL1, SLC4A7, CAD, PIGK, PIGT, CFTR, CERS1, TF, ABCA7, CANX, HSCB, SOAT1, EMD, RPN1]	
C36	25	33	4.55	[THBS1, ELANE, SERPINA3, SLPI, SERPINA1, SERPINF2, NOTCH2NLA, OCRL, CA8, PLG, CA6, CERK, PIGS, AP2S1, LTF, HMGB2, LSM12, BOLA2, SNRPE, AAMDC, FN1, DHX30, NCL, SF3B1, NCBP1]	
C37	25	31	4.84	[RAB1B, OCRL, SNX9, PHETA2, RAB8A, RAB6A, RAB5A, RAB1A, AP2S1, LTF, HMGB2, LSM12, BOLA2, SNRPE, AAMDC, CTSG, PCBP3, DHX9, ELANE, SF3B5, FN1, DHX30, NCL, CFTR, GSN]	
C38	24	31	4.45	[PIGP, DPM2, PYCARD, PIGA, EVA1C, FAM189B, PCDHA3, HAVCR2, LTF, ZNRF4, NAGK, LRRTM1, HS3ST2, CD79B, CD83, DPEP1, THBS2, CCDC107, VWCE, KCNS3, CERK, SMPD2, PCDHGB4, PCDHB7]	
C39	24	36	3.83	[C3AR1, CERS5, HTR2C, P2RY12, CD83, IPPK, FPR2, VIPR2, CERK, UGCG, PIGA, PIGW, PIGN, YIPF3, SPPL2B, PIGU, PTGIR, GPAA1, LPAR1, DPEP1, HEPACAM2, MRAP2, HAVCR2, VWCE]	
C40	24	32	4.31	[TM2D2, PIGM, HAVCR2, CHRM4, CNDP1, POMK, LTB4R2, UPK1A, ADGRG5, HTR3C, STARD7, CERK, PIGA, PIGB, CERS1, MGLL, PIGO, HTR4, CD83, VWCE, SOAT1, PTH1R, TMPRSS12, FAM189A2]	
C41	24	28	4.93	[PSMD9, PYGL, RAD23A, MC1R, TBCE, HK2, NTF3, PYGB, ZFP41, DCAF4L2, OGFOD1, FH, TRNT1, H2AFZ, LRRFIP2, AHCY, TEX101, FKBP5, IKBKB, EZR, DHCR24, CFTR, PGRMC1, USP19]	
C42	24	29	4.76	[HNF1B, PCBD1, HNF1A, CUL1, CUL4A, CUL4B, CUL5, CUL3, DCUN1D1, COPS5, DVL2, NIF3L1, NUDT18, TFF3, LNX1, GORASP2, WDYHV1, FXR2, APP, ACIN1, PTGS2, CA2, QDPR, APOA1]	
C43	23	27	4.69	[TF, MYC, DRD2, CANX, CALR, IGF2, TFR2, GAST, DDX31, CCDC82, CD81, GOT1, EDIL3, MATN3, UTP3, SYT17, STPG2, GDPD1, GLRA2, SLC38A6, APOA1, CD1D, ABCA1]	
C44	23	26	4.87	[PLG, ARHGAP20, ARHGAP26, KNG1, F3, F10, C7, LAMA1, LAMA5, ACTB, MARVELD2, APOH, SPARC, SERPINF2, CA2, ELANE, LRRK2, PCNA, NONO, USP42, CFTR, HSPD1, SLC4A8]	
C45	22	25	4.62	[GPX7, CHMP1A, SEC23IP, PSME1, HSPA14, ASNA1, PLEKHJ1, MCTS1, NFS1, UTP6, ZC3HC1, PAPSS1, GAK, SH3GL1, PLPBP, LYRM4, THYN1, PTPN11, FTO, THNSL1, FGB, FARSB]	
C46	22	28	4.13	[PIGA, FAM189B, PCDHA3, HAVCR2, LTF, ZNRF4, NAGK, LRRTM1, HS3ST2, CD79B, CD83, DPEP1, THBS2, CCDC107, VWCE, KCNS3, PCDHGB4, TRAF1, PCDHB7, FAM189A2, CERK, SMPD2]	
C47	21	45	2.33	[PLG, METTL14, HMGB1, ENO1, IGFBP3, THBS1, FGA, PLAT, F2, ALB, FN1, LOX, TGM2, F13A1, CFTR, LGALS3BP, ACACA, RPL27A, COPB1, SERPINE1, YWHAQ]	
C48	21	21	5.0	[FN1, VPS35, SIPA1, RAC1, ILK, LRRC59, MRPS28, VAPA, BAG6, DDX18, NAPA, PHB, PDLIM5, BROX, G6PD, TFRC, NCBP1, CPSF7, SET, POLR1C, CERK]	
C49	21	21	5.0	[DYNLL1, ELL, NLN, FOPNL, RPS2, STK25, CCDC18, DDX3X, WWC1, CEP131, MIB1, MAD2L1, RPS21, SSX2IP, RPS3, SFMBT1, MAPK6, EPB41L3, SHMT2, CCDC77, CAD]	
C50	21	23	4.57	[APOA1, LCAT, CLU, ABCA6, ROBO3, ALB, C1QA, VCAM1, SAFB2, CD40LG, KIAA0754, DNTT, CTSL, C1QBP, APOC3, C1QC, MOCOS, TEX101, PDE4B, SPEF2, FN1]	
C51	21	22	4.77	[DDIT3, CUL3, G3BP2, COPS8, RPS3, MCMBP, PICALM, TNFSF12, VPS37C, EMSY, GABBR2, HDAC1, HSD17B14, MAFG, FOSL1, G3BP1, MAPK14, CSNK2A1, JUND, NFE2L2, FN1]	
C52	21	21	5.0	[TACR1, ND1, ND4, ATP5F1B, ATP8, ATP5PD, GPR50, LPCAT3, LNPK, LMBR1, NDUFC2, SLC25A46, RGPD1, GPR89A, STX4, ATP5PB, TSPAN15, RDH14, FADS1, GOLGA5, STS]	
C53	21	21	5.0	[HBB, FRMD1, ARHGEF6, GK, MKI67, APCDD1, PABPC1, DMWD, PNPLA1, BMP5, PNKP, DHRS2, FAM234B, YWHAQ, PLXNB1, GRID1, SEMG2, PSMC5, HSPA8, MDM4, LTF]	
C54	21	21	5.0	[CD1B, MAN1A1, MR1, HLA-A, QSOX2, GHITM, CNTNAP3B, CANX, BTN2A1, GAS6, CHPT1, AMIGO1, USP22, TOR1B, ATP2B3, ULBP3, NRSN2, FCGRT, ITPRIP, LNPK, CD1E]	
C55	21	21	5.0	[GLB1, ATP6AP2, VIM, CDK2, PLAUR, HSCB, H2AFX, TRAPPC2L, TRAPPC5, YPEL5, NECTIN4, VAPA, MEPCE, FBXO6, TRAPPC2, CTSA, CTNNBIP1, RORC, TRAPPC10, FZR1, PIGT]	
C56	21	21	5.0	[SLC4A7, VSIG4, SH2D3C, MAS1, ESR1, ATP2B2, USH1C, PDZK1, SEC61B, LAMP1, KRAS, HRAS, NRAS, TEX29, GPR156, EPB42, SLC4A8, SNX21, YWHAH, ODAPH, CFTR]	
C57	21	21	5.0	[ENPP6, NDUFB4, LMF2, NDUFA7, IMPAD1, EMC3, GLB1L2, PTPN1, AGTRAP, NUP85, USP22, VAMP3, MEX3B, RIPK4, STEAP3, GLMN, RUNDC1, TEDC1, MKS1, GNPAT, CD1B]	
C58	21	21	5.0	[SGPL1, BAD, PKN2, PEBP1, PPP6R1, MORF4L1, PDCD11, RPL10, PTK6, RHOA, IQCB1, ANKRD12, TMEM173, CSNK2A2, ZNRF4, TRIM9, AIFM1, TMEM206, MED21, EGFR, CFTR]	
C59	21	21	5.0	[LOXL2, MTA1, ELN, MTA2, IK, PDIA3, SCGB2A2, RBBP7, FBXO6, SIN3A, EZH2, MARCKSL1, LYZL2, TMEM25, WNT7A, PSG8, OS9, INSL5, IDS, FBXO7, SMPD1]	
C60	21	21	5.0	[DHCR24, CISD3, CKAP5, COQ9, CNR2, CCR4, IKBKB, PGRMC1, NDUFA4, ESR1, TEX101, REEP5, TP53, APP, PSEN1, CAV2, NDUFAF4, ATP6V0D1, HRAS, FUNDC2, PYGL]	
C61	21	21	5.0	[UGT8, LMAN2L, ADRA1A, CSGALNACT2, H1F0, NEK4, B4GAT1, AGTR1, UPK1A, FBXO6, TRDN, NCEH1, FUT1, SEC22B, SCGB2A2, ADPGK, MPPE1, PTCH1, PLTP, HSD11B1, PIGB]	
C62	21	24	4.38	[ASAH1, TBC1D22B, ZNF556, ZIC1, LYPD1, RNF6, NSG2, AIRE, SLCO6A1, FTH1, ZSCAN12, TRMT2A, HTATIP2, NONO, FBXO6, GLT1D1, PNKD, HSF2, CYP1A2, GSG1, GM2A]	
C63	21	21	5.0	[GPAA1, ATP5F1B, DPEP1, PTGIR, GNRHR, HTR3A, AGTR1, ARF6, GABRA3, LPAR1, PIN1, KCNK16, GABRG2, PTP4A2, MOXD1, YIPF3, TREH, TCTN3, ZACN, CFTR, FN1]	
C64	21	21	5.0	[NPC2, NEDD4L, LRP1, BARD1, PSG1, NME2, NEGR1, NME2P1, DEFA1, IRGQ, TMPRSS11B, CFB, TTR, HK3, RRAGA, LDB3, NPC1, DHDDS, BEST1, ERFE, FGB]	
C65	21	21	5.0	[CELA1, EIF4E2, PRRC2A, DISC1, PRR14, CCT2, TUBB1, ZNF318, BCOR, CEP164, HELZ, HDAC3, KRBA1, USP54, GLI3, SIPA1L2, SMYD2, FBN2, ENPP7, CELA3A, PIGT]	
C66	21	21	5.0	[PIGS, TMEM131, SF3B1, HSCB, ATP5MD, FANCD2, YIPF5, PPM1A, DNAJC8, MYH6, MICALL2, SF3A2, CNTROB, DNAJA2, FBXO6, NOTCH2NLA, FN1, MPST, GPX1, GPX4, KARS]	
C67	21	21	5.0	[NOS1, PUM2, CKAP4, BDKRB2, PTPN6, RASD1, SYN1, NOSIP, PRKD1, STUB1, ZDHHC23, VAC14, NOS1AP, SNTA1, STS, NOS3, CFTR, ABCA1, GPHN, SIDT2, CANX]	
C68	21	23	4.57	[GCHFR, CBFB, EIF4G1, CAMKK2, HBS1L, FXYD1, NEBL, SPINK2, OBSL1, PUSL1, DOCK11, GCH1, IRF2BP2, CAD, RPS12, RPH3A, AHSA1, OSBPL9, YWHAZ, USP7, CFTR]	
C69	21	22	4.77	[LOXL3, RPL23, EDEM1, SUFU, CLINT1, HSPA5, LTBP1, MSI1, VPS26B, SENP5, CFTR, DYNLL1, FBN2, IL1RAPL1, EPS8, TMEM43, SEC61A2, B3GNT9, HSPA1L, TFG, RACK1]	
C70	21	21	5.0	[ABCA7, SORT1, SYNCRIP, LLGL2, SGTB, HNRNPD, ADRB2, C5AR2, GABRA3, HTR3A, IL6, FN1, EFEMP2, MGLL, PIGG, PIGO, SH3GL2, SORL1, ZBTB16, IL6ST, GPAA1]	
C71	21	21	5.0	[SEPHS1, CUL3, PFAS, WDR12, GART, PUM1, ZBTB25, HLX, QRICH1, FN1, PRPF19, SH3GLB1, KRT5, SSB, ECPAS, RPL31, DLD, PDHB, RPL7, STIP1, CFTR]	
C72	21	21	5.0	[FGA, TRIM33, SOD1, NID1, HRG, CDH5, FAM20C, SGPL1, CACNG5, SEMA7A, IL13RA2, P2RX1, ISLR, VSIG4, BTN2A1, TRARG1, SOAT1, UQCRC1, RPN1, NDUFS1, PKN2]	
C73	21	21	5.0	[CA4, TEX101, CDK18, SLC4A1, SLC4A4, CA2, ATP2A2, SLC9A1, CFTR, CEP170, TJP3, USP19, CLCA1, SH3BGRL2, PSAP, PPP2CA, HSPH1, TNPO3, PPP2R2B, ATP2A1, HSPD1]	
C74	21	21	5.0	[UPF3A, CA1, APOA1, HBB, TFCP2, KRT16, SMPDL3A, KRT9, RRP1B, NDRG1, MAP7D1, APOL1, GPLD1, SCARB1, SNCA, GOT1L1, TTR, ZNF558, APOB, APOA2, HP]	
C75	21	21	5.0	[RAB5C, SOAT1, OCRL, FN1, TERF1, UBIAD1, RTN4R, PTH1R, CARNMT1, RPN2, PEX19, ADAM33, ILF2, FAM189A2, TMPRSS12, FAM187B, TSPAN5, ASGR2, LYPD6, RNF11, AP2M1]	
C76	21	21	5.0	[HNRNPC, MMP12, CFTR, ERLIN1, RANBP1, BCAP31, PSMD11, PSMB3, PSMB4, HSPA4, LPAR2, CLCN3, SLC26A9, KCNN4, KRT8, HNRNPL, FBL, MVP, GPRC5A, ARL1, FN1]	
C77	21	25	4.2	[XDH, CCDC110, MYC, TF, ACACA, FN1, DRD2, CANX, CALR, IGF2, TFR2, GAST, DDX31, CCDC82, CD81, GOT1, EDIL3, MATN3, UTP3, SYT17, APOA1]	
C78	21	21	5.0	[CA6, NOTCH2NLA, FRMD1, CERK, ELANE, ILKAP, U2AF2, NR3C1, PRRC2B, PRMT1, UTP4, IK, TAF13, GEMIN2, UBL4A, USP1, RBM26, PRPF4, WDR43, EIF4ENIF1, FN1]	
C79	21	21	5.0	[HYOU1, GBA, CFTR, B4GALT7, FGD6, FMR1, ZMYND11, ZCCHC8, RNF20, JPH1, PATJ, RIPK4, SCAMP3, ATP5PF, TOP3B, RPS6KA3, ZFP91, RAB27B, STRAP, MYL9, HSP90B1]	
C80	21	21	5.0	[PHETA1, GPX7, OCRL, EIF2AK2, C1orf52, SNX1, ZG16B, ZC3HAV1L, RIPK1, SGTA, APPL1, RAB31, TPCN2, EIF3C, SNX21, HERC2, GTSE1, IL1R2, INPP5B, PAK2, PLEKHJ1]	
C81	21	21	5.0	[GID8, GM2A, PIGT, HEXA, ACTA2, PDE4DIP, CFAP298, SINHCAF, VNN2, POC5, SF3A1, CCDC51, SSBP4, KIR3DS1, ZNF609, TOR1AIP1, POGLUT1, BORA, EGFL7, GID4, DYNLL1]	
C82	21	21	5.0	[EPS15, MCCC2, FN1, ECSIT, CYB5B, UBASH3B, RECK, AGR2, PSMD13, APOBEC3C, TTN, KRT10, MCM2, PGK1, XRCC6, CLIC5, HIF1A, LCP1, AP2B1, RCC1, C1QBP]	
C83	21	22	4.77	[DNAJB2, GLB1, CFTR, MAP11, RHOA, DNAJB4, TRAPPC3, SFXN5, KLHDC9, TRAPPC1, TRAPPC4, TRAPPC6B, KHK, TRAPPC9, RHOC, DNAJB1, NEU1, P4HB, PSMD12, ITGA3, VIM]	
C84	21	21	5.0	[PSME2, FGB, CFTR, SYAP1, EIF3J, CTNNBL1, BLVRB, HSP90AA4P, OXSR1, EEF1A2, PIR, TBC1D24, VRK1, UBLCP1, EIF2A, DENR, GNL1, RPRD1B, SNX3, UBE2T, TES]	
C85	21	21	5.0	[DBN1, ABCG2, CFTR, MYO5C, PCDH7, BAG6, SYNPO, PIM1, MARCH2, SAMHD1, IGF2BP2, ANXA3, SFN, KIF5B, DCTN4, DDX3X, RPL3, XRCC6, NSUN2, PTBP1, FN1]	
C86	21	21	5.0	[TRIB3, DDIT3, FN1, EP300, ATF7, PCM1, RTL6, SPOP, FOSL2, ATF2, JUNB, BACH1, DBP, HLF, CREB3, NFIL3, TEDC1, CEBPE, BATF3, RPS3A, CSNK2A1]	
C87	21	21	5.0	[COPS3, PTGS2, HBB, PSMD1, RBX1, COPS7A, LMAN2L, NUCB1, SLC2A14, HIST1H2BJ, GSTT1, LPAR2, MAPK6, MSL2, TMEM92, CYTIP, DACH1, NDUFAF5, GDPD1, AGA, PSMC5]	
C88	21	21	5.0	[RPL14, CFTR, FN1, MIF, RBM39, PSMC1, NAMPT, ARPC5L, PGAM1, TPI1, CAPZA2, MTHFD1, EEF1G, COPA, ACTN1, MCM7, RPLP0, ITCH, SF3B3, MYL12A, PSMA6]	
C89	21	21	5.0	[TAFA4, FN1, PTS, SEPT9, NDUFA9, SEC22B, COL5A1, HIST1H2AA, RPS7, HNRNPDL, COX2, RPL4, UBE2N, GAR1, RPL29, FUS, STXBP3, RPS25, PSMG2, DIAPH1, ARHGEF1]	
C90	21	21	5.0	[DPP4, FAP, PLAUR, LOXL2, DEFA1, TINAGL1, ADAMTS4, IL12RB1, KLK11, KLK5, TAZ, CAV1, GLB1, MTA1, ELN, MTA2, IK, PDIA3, SCGB2A2, RBBP7, FBXO6]	
C91	21	23	4.57	[MSRB1, CLU, APOA1, LCAT, ABCA6, ROBO3, ALB, C1QA, VCAM1, SAFB2, CD40LG, KIAA0754, DNTT, CTSL, C1QBP, APOC3, C1QC, MOCOS, TEX101, PDE4B, FN1]	
